6;19:00;OFKRM;\\sasdm1\erxternal\jober\evday\jobs\OFKR_main.sas
7;19:00;OFKRM;\\sasdm1\erxternal\jober\evday\jobs\OFKR_main.sas

1;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas
2;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas
3;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas
4;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas
5;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas
6;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas
7;09:00;OGRTAX;\\sasdm1\erxternal\jober\evday\jobs\OGRTAX.sas


1;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas
2;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas
3;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas
4;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas
5;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas
6;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas
7;09:00;CHIK;\\sasdm1\erxternal\jober\ch\jobs\CRED_VACATION.sas

1;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas
2;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas
3;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas
4;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas
5;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas
6;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas
7;11:30;CFINAL;\\sasdm1\erxternal\jober\evday\jobs\CORPFINAL.sas

1;00:00;CSPISUP;\\sasdm1\erxternal\jober\evday\jobs\CSPIS_UPD.sas
2;00:00;CSPISUP;\\sasdm1\erxternal\jober\evday\jobs\CSPIS_UPD.sas
3;00:00;CSPISUP;\\sasdm1\erxternal\jober\evday\jobs\CSPIS_UPD.sas
4;00:00;CSPISUP;\\sasdm1\erxternal\jober\evday\jobs\CSPIS_UPD.sas
5;00:00;CSPISUP;\\sasdm1\erxternal\jober\evday\jobs\CSPIS_UPD.sas
6;00:00;CSPISUP;\\sasdm1\erxternal\jober\evday\jobs\CSPIS_UPD.sas
